"typeLabel","placeName","choCount"
"foto's","Montana (deelstaat)","70"
"gravures","Suriname","70"
"gelatinenegatieven op acetaat","Chicontepec","70"
"gelatineplaatnegatieven","Moengo","70"
"zwart-wit negatieven","Chicontepec","70"
"gelatinenegatieven op acetaat","Santa Ana Jilotzingo","68"
"beelden","Tonalá","68"
"zwart-wit negatieven","Santa Ana Jilotzingo","68"
"zwart-wit negatieven","Milpa Alta","68"
"positieven (beeldmateriaal)","Suriname","66"
"foto's","Browning","66"
"foto's","Lawa (rivier)","66"
"gelatinenegatieven op acetaat","Calixtlahuaca","66"
"ontwikkelgelatinezilverdrukken","Panama","66"
"zwart-wit negatieven","Calixtlahuaca","66"
"beelden","Mexico-Stad","66"
"ontwikkelgelatinezilverdrukken","Suriname (rivier)","66"
"beelden","Metepec","66"
"ontwikkelgelatinezilverdrukken","Venezuela","64"
"foto's","Canada","64"
"kleurendia's","Bolivia","64"
"krachtbeelden","Zuni","64"
"ontwikkelgelatinezilverdrukken","Martinique","64"
"prenten","Canada","62"
"gelatinenegatieven op acetaat","Hueyapan (Puebla)","62"
"foto's","Wilhelmina (rivier)","60"
"kleurendia's","Venezuela","60"
"foto's","Verenigde Staten van Amerika","60"
"foto's","Ammassalik- district","60"
"daglichtcollodiumzilverdrukken","Paramaribo","60"
"kleurendia's","Brasília","60"
"gelatineplaatnegatieven","Nederlandse Antillen","58"
"ontwikkelgelatinezilverdrukken","Caraïbisch gebied","58"
"foto's","Nickerie (rivier)","58"
"gelatinenegatieven op acetaat","Zontecomatlán","56"
"kleurendia's","Chincheros","56"
"zwart-wit negatieven","Zontecomatlán","56"
"foto's","Chili","56"
"zwart-wit negatieven","Pátzcuaro","56"
"foto's","Jamaike","56"
"daglichtcollodiumzilverdrukken","Willemstad","54"
"tekeningen","Suriname","54"
"glasnegatieven","Ammassalik- district","54"
"foto's","Tasiilaq","54"
"ontwikkelgelatinezilverdrukken","Schottegat (baai)","54"
"daglichtcollodiumzilverdrukken","Litani (rivier)","54"
"foto's","Marowijne (rivier)","54"
"foto's","Gonini (rivier)","54"
"foto's","Curaçao","54"
"gelatinenegatieven op acetaat","Mitla","52"
"kleurendia's","Paramaribo","52"
"sculpturen","Diilerilaaq","52"
"kleurendia's","Kralendijk","52"
"zwart-wit negatieven","Mitla","52"
"beelden","San Bartolo Coyotepec","52"
"gelatinenegatieven op nitraat","Suriname (rivier)","50"
"draadschilderingen","Jalisco (deelstaat)","50"
"foto's","Willemstad","50"
"gelatineplaatnegatieven","Bonaire","50"
"beelden","Ecuador","48"
"albuminedrukken","Jamaica","48"
"foto's","Rio Nabiléque (rivier)","48"
"gelatineplaatnegatieven","Aruba","46"
"gelatinenegatieven op acetaat","Salvador","46"
"stereofoto's","Suriname","46"
"draadschilderingen","Nayarit (deelstaat)","46"
"ontwikkelgelatinezilverdrukken","Lelydorp","46"
"diapositieven","Yellowstone National Park","44"
"ontwikkelgelatinezilverdrukken","Chichén Itzá","42"
"gelatinenegatieven op nitraat","Marowijne (rivier)","42"
"sculpturen","Kugluktuk","42"
"diapositieven","Canada","42"
"kleurendia's","Argentinië","42"
