"typeLabel","placeName","choCount"
"positieven (beeldmateriaal)","Nieuw-Guinea (eiland)","4"
"gravures","Nieuw-Guinea (eiland)","4"
"gelatineplaatnegatieven","Papoea-Nieuw-Guinea","4"
"foto's","Bismarck-archipel","4"
"attributen","New Ireland (provincie)","4"
"koppen (figuurvoorstellingen)","East Sepik (provincie)","4"
"attributen","Alu","4"
"kabinetfoto's","Samoa-eilanden","4"
"beelden","Highlands","4"
"foto's","Buka","4"
"foto's","Rotorua","4"
"fotomechanische afdrukken","Zuidoostelijk Papoea-Nieuw-Guinea","4"
"voorouderbeelden","Maprik","4"
"voorouderbeelden","Murik -meren","4"
"totems","Golf van Papua","4"
"foto's","Torres Straat -gebied","4"
"beelden","Yentchanmangua","4"
"zeefdrukken","Chimbut","4"
"gevelmaskers","Tambanum","4"
"voorouderbeelden","Torembi","4"
"beelden","Kanduanum","4"
"foto's","Gilbert-eilanden","4"
"ontwikkelgelatinezilverdrukken","Australië","4"
"schilderingen","Northern Territory","4"
"potloodtekeningen","Nieuw-Guinea (eiland)","4"
"beelden","Nieuw-Guinea (eiland)","4"
"beelden","Milne Bay (provincie)","4"
"figuren (voorstellingen)","West New Britain (provincie)","4"
"foto's","Tauu-eilanden","4"
"attributen","Golf van Papua","4"
"beeldsnijwerken","Kanganaman","4"
"voorouderbeelden","Saulik","4"
"totems","Marui","4"
"voorouderbeelden","Kanduanum","4"
"maskers (beeldhouwwerk)","Wombun","4"
"daglichtgelatinezilverdrukken","Wutung","4"
"foto's","Tonga","4"
"gravures","Tonga","4"
"gravures","Oceanië","4"
"pastels","Australië","4"
"gelatinenegatieven op nitraat","Nieuw-Guinea (eiland)","4"
"schilderingen","Papoea-Nieuw-Guinea","4"
"paalbeelden","West New Britain (provincie)","4"
"voorouderbeelden","Bay of Plenty","4"
"paalbeelden","Bay of Plenty","4"
"voorouderbeelden","Yellow (rivier)","4"
"voorouderbeelden","Sepik (rivier)","4"
"gravures","Tahiti","4"
"foto's","Melanesië","4"
"cartes-de-visite (fotografische kaarten)","Melanesië","4"
"beelden","Nieuw-Caledonië","4"
"emblemen (symbolen)","New Britain","4"
"ontwikkelgelatinezilverdrukken","Keriri (eiland)","4"
"schilderingen","Millingimbi (eiland)","4"
"beeldsnijwerken","Ongaia","4"
"beeldsnijwerken","Apangai","4"
"schaalmodellen","Pityilu","4"
"voorouderbeelden","Numbungai","4"
"afweerbeelden","Karawari-rivier","4"
"yipwon-beelden","Kaiwaria","2"
"voorouderbeelden","But","2"
"ontwikkelgelatinezilverdrukken","Wutung","2"
"beelden","Kikori (plaats)","2"
"gravures","Fiji","2"
"gravures","Nieuw-Zeeland","2"
"figuren (voorstellingen)","Nieuw-Zeeland","2"
"aquatinten","Hawaii","2"
"ontwikkelgelatinezilverdrukken","Oceanië","2"
"etsen (prenten)","Oceanië","2"
"houtgravures","Australië","2"
"aquatinten","Australië","2"
"schilderijen","New South Wales ","2"
"schilderijen","Northern Territory","2"
"aquarellen","Northern Territory","2"
"schilderingen","Queensland","2"
"schilderingen","Nieuw-Guinea (eiland)","2"
"glasnegatieven","Nieuw-Guinea (eiland)","2"
"positieven (beeldmateriaal)","Papoea-Nieuw-Guinea","2"
"gelatinenegatieven op acetaat","Papoea-Nieuw-Guinea","2"
"gevelmaskers","Papoea-Nieuw-Guinea","2"
"schilderijen","Papoea-Nieuw-Guinea","2"
"houtsneden","Papoea-Nieuw-Guinea","2"
"boegbeelden","Papoea-Nieuw-Guinea","2"
"beeldsnijwerken","West New Britain (provincie)","2"
"totems","West New Britain (provincie)","2"
"voorouderschedels","East Sepik (provincie)","2"
"yipwon-beelden","East Sepik (provincie)","2"
"portretschedels","Vanuatu","2"
"beelden","Vanuatu","2"
"daglichtgelatinezilverdrukken","Bensbach (rivier)","2"
"voorouderbeelden","Hermit-eilanden","2"
"foto's","Wuvulu","2"
"beelden","Ambrym (eiland)","2"
"sculpturen","Ambrym (eiland)","2"
"houtsnijwerk","Iwa-eiland","2"
"voorouderbeelden","Fly (rivier)","2"
"beelden","Turama (rivier)","2"
"attributen","Dreikikir","2"
"schilderingen","Sepik (rivier)","2"
"maskers (beeldhouwwerk)","Sepik (rivier)","2"
"etsen (prenten)","Polynesië","2"
"godenbeelden","Rarotonga","2"
"attributen","Moce","2"
"beelden","Rotuma-eilanden","2"
"beelden","Tahiti","2"
"reliëfs","Marquesas-eilanden","2"
"boombastschilderingen","Futuna","2"
"aquatinten","Melanesië","2"
"krachtbeelden","Sepik -gebied","2"
"godenbeelden","Carolinen","2"
"schaalmodellen","Carolinen","2"
"afweerbeelden","Golf van Papua","2"
"kleurendia's","Port Moresby -gebied","2"
"tekeningen","Port Moresby -gebied","2"
"daglichtcollodiumzilverdrukken","Waiben (eiland)","2"
"etsen (prenten)","Huahine","2"
"gelatinenegatieven op acetaat","Kokoda","2"
"totempalen","Buckingham Bay","2"
"figuren (voorstellingen)","Apangai","2"
"beeldsnijwerken","Blaga","2"
"gevelmaskers","Marui","2"
"maskers (beeldhouwwerk)","Kaminimbit","2"
"portretschedels","Malu","2"
"voorouderbeelden","Warabung","2"
"voorouderbeelden","Chambri-meer","2"
"gevelmaskers","Kilimbit","2"
"beelden","Labai","2"
"daglichtgelatinezilverdrukken","Somerset Point","2"
"figuren (voorstellingen)","Society-eilanden","2"
"lithografieën (prenten)","Nieuw-Zeeland","2"
"tekeningen","Nieuw-Zeeland","2"
"totempalen","Nieuw-Zeeland","2"
"schaalmodellen","Nieuw-Zeeland","2"
"voorouderbeelden","Nieuw-Zeeland","2"
"positieven (beeldmateriaal)","Nieuw-Zeeland","2"
"gelatinenegatieven op acetaat","Nieuw-Zeeland","2"
"lithografieën (prenten)","Oceanië","2"
"foto's","Oceanië","2"
"collages","Australië","2"
"ontwikkelgelatinezilverdrukken","Queensland","2"
"prenten","Tasmania","2"
"beeldsnijwerken","Papoea-Nieuw-Guinea","2"
"houtsnijwerk","Madang (provincie)","2"
"beelden","Western (PNG, provincie)","2"
"voorouderbeelden","Vanuatu","2"
"voorouderbeelden","Haasts Bluff","2"
"foto's","Kaniet-eilanden","2"
"ontwikkelgelatinezilverdrukken","San Cristobal","2"
"maskers (beeldhouwwerk)","Malakula","2"
"attributen","Bamu (rivier)","2"
"beelden","Bamu (rivier)","2"
"attributen","Purari (rivier)","2"
"beeldsnijwerken","Dreikikir","2"
"godenbeelden","Aitutaki","2"
"foto's","Jaluit","2"
"verteldoeken","Moce","2"
"godenbeelden","Tahiti","2"
"etsen (prenten)","Tahiti","2"
"voorouderbeelden","Tahiti","2"
"cartes-de-visite (fotografische kaarten)","Tuamotu-archipel","2"
"gedenkbeeldhouwwerken","New Britain","2"
"voorouderbeelden","Buka","2"
"houtsnijwerk","Sepik -gebied","2"
"attributen","Solomon Eilanden","2"
"positieven (beeldmateriaal)","Solomon Eilanden","2"
"boegbeelden","Solomon Eilanden","2"
"paalbeelden","Solomon Eilanden","2"
"foto's","Solomon Islands","2"
"klederdrachtpoppen","Mount Hagen","2"
"gelatineplaatnegatieven","Mambare (rivier)","2"
"negatieven","Waiben (eiland)","2"
"schilderingen","Wadeye","2"
"miniaturen (schilderingen)","Numbulwar","2"
"totems","Numbulwar","2"
"attributen","Blanche Bay","2"
"emblemen (symbolen)","Ongaia","2"
"voorouderbeelden","Bongu","2"
"boegbeelden","Biloa","2"
"kleurendia's","Honolulu","2"
"gevelmaskers","Maprik-gebied","2"
"attributen","Blaga","2"
"beelden","Blaga","2"
"beeldsnijwerken","Kalabu","2"
"koppen (figuurvoorstellingen)","Yangoru","2"
"voorouderbeelden","Chinapelli","2"
"maskers (beeldhouwwerk)","Ramu-rivier","2"
"maskers (beeldhouwwerk)","Torembi","2"
"gevelmaskers","Amongabi","2"
"voorouderbeelden","Karau","2"
"portretschedels","Avatip","2"
"portretschedels","New Georgia (eiland)","2"
"afweerbeelden","Tsiria","2"
"foto's","Noordelijk Nieuw-Guinea","2"
"ontwikkelgelatinezilverdrukken","Yap","2"
"voorouderbeelden","Trobriand-eilanden","2"
"beeldsnijwerken","Siassi-eilanden","2"
"beelden","Fiji","2"
"foto's","Lau-eilanden","2"
"ontwikkelgelatinezilverdrukken","Hawaii","2"
"digitale fotoafdrukken","Australië","2"
"schilderijen","Australië","2"
"foto's","Northern Territory","2"
"lithografieën (prenten)","Tasmania","2"
