"typeLabel","placeName","choCount"
"gelatineplaatnegatieven","Den Haag","8"
"foto's","Den Helder","8"
"foto's","Brussel","8"
"ontwikkelgelatinezilverdrukken","Spanje","8"
"ontwikkelgelatinezilverdrukken","Italië","8"
"ontwikkelgelatinezilverdrukken","Leipzig","8"
"beeldengroepen","Nederland","8"
"glasnegatieven","Nederland","8"
"kleurenlithografieën (prenten)","Leiden","8"
"gelatineplaatnegatieven","Utrecht","8"
"ontwikkelgelatinezilverdrukken","Eindhoven","8"
"foto's","Verenigd Koninkrijk","8"
"beelden","Sicilië","8"
"diapositieven","Roemenië","8"
"schaalmodellen","Zwitserland","8"
"figuren (voorstellingen)","Noorwegen","8"
"maquettes","Amur","8"
"miniaturen (schilderingen)","Naryan Mar","8"
"cartes-de-visite (fotografische kaarten)","Nederland","8"
"aquarellen","Amsterdam","8"
"gelatinenegatieven op nitraat","Rotterdam","8"
"cartes-de-visite (fotografische kaarten)","Brussel","8"
"foto's","Frankrijk","8"
"lithografieën (prenten)","Frankrijk","8"
"ontwikkelgelatinezilverdrukken","Noordzee","8"
"miniaturen (schilderingen)","Dalarna ","8"
"prenten","Noordoost-Siberië","6"
"afgietsels","Amsterdam","6"
"devotiebeelden","Amsterdam","6"
"ontwikkelgelatinezilverdrukken","Huizen","6"
"ontwikkelgelatinezilverdrukken","IJmuiden","6"
"ontwikkelgelatinezilverdrukken","Engeland","6"
"lantaarnplaatjes","Isle of Wight","6"
"foto's","Madeira","6"
"knipprenten","Polen","6"
"figuren (voorstellingen)","Oostenrijk","6"
"gelatineplaatnegatieven","Zwitserland","6"
"foto's","IJsland","6"
"prenten","Uelen","6"
"gelatine zilverdrukken","Domburg -Nederland","6"
"olieverfschilderingen","Europa","6"
"gedenkbeeldhouwwerken","Nederland","6"
"daglichtgelatinezilverdrukken","Amsterdam","6"
"platinadrukken","Amsterdam","6"
"ontwikkelgelatinezilverdrukken","Gelderland","6"
"gelatinenegatieven op acetaat","Rotterdam","6"
"ontwikkelgelatinezilverdrukken","Haarlem","6"
"gelatineplaatnegatieven","Dordrecht","6"
"foto's","Noord-Ierland","6"
"cartes-de-visite (fotografische kaarten)","Berlijn","6"
"beelden","Tsjechië","6"
"figuren (voorstellingen)","Slowakije","6"
"poppen (figuurvoorstellingen)","Siberië","6"
"gelatineplaatnegatieven","Europa","6"
"figuren (voorstellingen)","Europa","6"
"positieven (beeldmateriaal)","Nederland","6"
"reliëfs","Nederland","6"
"positieven (beeldmateriaal)","Amsterdam","6"
"daglichtgelatinezilverdrukken","Den Haag","6"
"platinadrukken","Den Haag","6"
"diapositieven","Italië","6"
"lichtdrukken","Frankrijk","6"
"ontwikkelgelatinezilverdrukken","Middellandse zee","6"
"miniaturen (schilderingen)","Jokkmokk","6"
"foto's","Bahía de Cádiz","6"
