"typeLabel","placeName","choCount"
"daglichtgelatinezilverdrukken","Semarang (regentschap)","256"
"ontwikkelgelatinezilverdrukken","Kediri (regentschap)","254"
"daglichtgelatinezilverdrukken","Jawa Timur (provincie)","254"
"foto's","Ambon (eiland)","248"
"foto's","Maluku (provincie)","246"
"kleurendia's","Medan (stadsgemeente)","246"
"positieven (beeldmateriaal)","Indonesië","246"
"platinadrukken","Borobudur","244"
"kleurendia's","Port Numbay","242"
"gelatinenegatieven op acetaat","Bali","240"
"daglichtcollodiumzilverdrukken","Semarang (regentschap)","240"
"daglichtgelatinezilverdrukken","Papua (Indonesië)","236"
"ontwikkelgelatinezilverdrukken","Sumatera","236"
"kleurendia's","Iran","236"
"ontwikkelgelatinezilverdrukken","Pekalongan (regentschap)","232"
"foto's","Amanamkai","230"
"ontwikkelgelatinezilverdrukken","Jawa Tengah (provincie)","224"
"poppen (figuurvoorstellingen)","Jawa","224"
"gelatinenegatieven op acetaat","Manila","224"
"foto's","Balikpapan (stadsgemeente)","222"
"ontwikkelgelatinezilverdrukken","Baghdad","222"
"daglichtgelatinezilverdrukken","Makassar","220"
"aquarellen","Indonesië","220"
"gelatinenegatieven op nitraat","Nusa Tenggara Timur (provincie)","216"
"surimono's","Osaka","214"
"heiligenbeelden","Filipijnen","210"
"beelden","Thailand","208"
"daglichtcollodiumzilverdrukken","Jawa","208"
"kleurendia's","India","206"
"daglichtgelatinezilverdrukken","Yogyakarta (stadsgemeente)","206"
"zwart-wit dia's","Jawa","204"
"gelatinenegatieven op nitraat","Bali","204"
"kleurendia's","Asmat (regentschap)","204"
"daglichtgelatinezilverdrukken","Bogor (stadsgemeente)","202"
"gelatinenegatieven op acetaat","Luzon","200"
"voorouderbeelden","Asmat (regentschap)","200"
"kleurendia's","Bangladesh","198"
"gelatinenegatieven op nitraat","Jawa Barat (provincie)","198"
"foto's","Buru (eiland)","198"
"gelatinenegatieven op acetaat","Makassar","198"
"foto's","Barito (rivier)","198"
"kleurendia's","Borobudur","198"
"foto's","Singkawang (stadsgemeente)","198"
"kalligrafie","China","196"
"ontwikkelgelatinezilverdrukken","Makassar","192"
"afgietsels","Mojokerto (regentschap)","192"
"ontwikkelgelatinezilverdrukken","Pasuruan (regentschap)","192"
"foto's","Penataran","190"
"ontwikkelgelatinezilverdrukken","Semarang (stadsgemeente)","188"
"beelden","Brits-Indië","188"
"herdenkingsprenten","Tôkyô To","186"
"cartes-de-visite (fotografische kaarten)","Indonesië","184"
"gelegenheidspenningen","China","184"
"ontwikkelgelatinezilverdrukken","Jedda","184"
"ontwikkelgelatinezilverdrukken","Banten (provincie)","184"
"gelatineplaatnegatieven","Medan (stadsgemeente)","184"
"godenbeelden","Bali","182"
"gelatineplaatnegatieven","Prambanan","182"
"gelatinenegatieven op nitraat","Jawa","178"
"koppen (figuurvoorstellingen)","Jawa Timur (provincie)","176"
"gelatinenegatieven op nitraat","China","176"
"kleurendia's","Prambanan","176"
"prenten","India","176"
"beelden","India","176"
"gelatinenegatieven op nitraat","Seon","174"
"foto's","Sumbawa (eiland)","172"
"kleurendia's","Yogyakarta (stadsgemeente)","172"
"kleurendia's","Sri Lanka","170"
"diptieken","Tôkyô To","170"
"daglichtgelatinezilverdrukken","Garut (regentschap)","170"
"negatieven","Jawa","168"
"ontwikkelgelatinezilverdrukken","Klaten (regentschap)","168"
"voorouderbeelden","Tanimbar-eilanden","168"
"foto's","Karo (regentschap)","164"
"tekeningen","Japan","164"
"kleurenlithografieën (prenten)","India","164"
"daglichtgelatinezilverdrukken","Jakarta","162"
"gelatineplaatnegatieven","Jawa Timur (provincie)","160"
"gelatinenegatieven op acetaat","Prambanan","160"
"foto's","Prambanan tempelcomplex","160"
"gelatinenegatieven op acetaat","Tana Toraja (regentschap)","160"
"foto's","Kyôto","160"
"foto's","Singapore","160"
"foto's","Mendalam (rivier)","160"
"digitale afbeeldingen","Awer (Halmahera)","156"
"foto's","Sekayam (rivier)","154"
"ontwikkelgelatinezilverdrukken","Garut (regentschap)","154"
"voorouderbeelden","Amanamkai","152"
"cartes-de-visite (fotografische kaarten)","Jakarta","152"
"gelatinenegatieven op acetaat","Indonesië","152"
"gelatinenegatieven op nitraat","Shache","150"
"gelatinenegatieven op acetaat","Sausapor","148"
"gelatine zilverdrukken","Jawa Barat (provincie)","148"
"foto's","Dieng (plateau)","148"
"foto's","Timor","148"
"foto's","Sumatera Utara (provincie)","146"
"ontwikkelgelatinezilverdrukken","Bogor (regentschap)","146"
"gelatinenegatieven op acetaat","Tandung","146"
